Codice,Nome,Designer,Materiale_Rivestimento,Solo_Pelle,Solo_Tessuto,Mix_Pelle_Tessuto_Possibile,Sfoderabile,Meccanismi_Relax,Poggiatesta_Regolabile,Funzione_Letto,Modulare,Struttura_Interna,Piedi_Materiale,Piedi_Finiture,Piedi_Altezza_cm,Piedi_Assemblati,Cuscino_Seduta_Stato,Cuscino_Spalliera_Stato,Note_Versioni_Configurazioni,Anno_Nascita,Imbottitura_Memory_Foam,Imbottitura_Climalight,Imbottitura_Piuma,Piedi_Ant_Post_Diversi,Opzione_Batteria,Porta_USB,Laterali_Componibile_Materiale,Tipo_Cuciture_Speciali,Contrasto_Filo_Bordino,Note_Restrizioni_Materiali,Note_Caratteristiche_Speciali
3049,Brick,Natuzzi Design Center,Pelle/Tessuto,No,No,Sì,No,"Recliner (ZeroWall)",Sì,No,Sì,Legno,Legno,"09 (Noce), 18 (Wengè)",4.0,No,"Uniti alla struttura","Uniti alla struttura","Disponibile con bordino a contrasto. Meccanismo ZeroWall. Poggiatesta regolabile manualmente (versioni fisse). Disponibile vers. 830 Battery Bank. Laterale divano componibile non in pelle.",2017,No,No,No,No,Sì,No,Tessuto,Nessuna,Sì (Bordino),"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Classico comfort avvolgente. Versatilità configurazioni/rivestimenti. Linee morbide, funzioni recliner. Piedi in busta."
3050,Dodi,Non Specificato,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero). V.066 Base metallo: 79 (Nero Opaco)",12.5,No,Fisso,Fisso,"V.066 Base metallo: 79 (Nero Opaco). MIX PELLE-TESSUTO: 1°Pelle=Rivestimento interno spalliera, 2°Tessuto=Retro scocca e cuscino seduta.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Categorie Mix Pelle/Tessuto definite. Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi in busta."
3053,Talia,Non Specificato,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Metallo,Metallo,"78 (Cromo Nero)",33.0/26.5,No,Fisso,Fisso,"MIX PELLE-TESSUTO: 1°Pelle=Cuscino spalliera, cuscino seduta, bordino, 2°Tessuto=Scocca. TESSUTO: bordino/dettagli (2° riv) in pelle Le Mans.",Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,Sì,"Categorie Mix Pelle/Tessuto definite. Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi anteriori più alti dei posteriori. Piedi in busta."
3061,Pliè,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,"Recliner (Triple-Motion, ZeroWall)",Sì,No,Sì,Legno,Legno,"09 (Noce), 18 (Wengè)",4.5,No,"Uniti alla struttura","Uniti alla struttura","Funzioni Triple-Motion (schienale, poggiapiedi, poggiatesta) su ogni seduta. Pulsantiera esterna bracciolo (o laterale). Meccanismo ZeroWall. Disponibile vers. 830 Battery Bank. Laterale divano componibile in pelle.",2017,No,No,No,No,Sì,No,Pelle,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Alta artigianalità italiana. Comfort visivo e di seduta. Linee morbide, accoglienti. Piedi in busta."
3062,Rock,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,"Recliner (Triple-Motion, ZeroWall)",Sì,No,No,Legno,Non Specificato,"Non Specificato",4.5,No,"Uniti alla struttura","Uniti alla struttura","Funzioni Triple-Motion (schienale, poggiapiedi, poggiatesta) su ogni seduta. Pulsantiera esterna bracciolo (o laterale). Meccanismo ZeroWall. Disponibile vers. 830 Battery Bank. Pulsantiera include presa USB.",2017,No,No,No,No,Sì,Sì,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Portento comfort e tecnologia. Design avvolgente. Ricerca e sviluppo Natuzzi. Piedi in busta."
3085,Icon,Michele Menescardi,Tessuto,No,Sì,No,No,No,No,No,Sì,Legno,Metallo (Nascosti),"Base metallo in galvanica cromo nero.",Non Specificato,Sì,Fisso,Fisso,"Ordinabile in pelle (codice V085, estetica diversa). Laterale divano componibile in pelle (se ordinato come V085).",Non Specificato,No,Sì,No,No,No,No,Pelle (se V085),Nessuna,No,Non Specificato,"Mix imbottiture poliuretano/Climalight. Altamente modulare (piedini gomma). Piedi già montati, nascosti, antiscivolo/antigraffio."
3087,Colosseo,Mauro Lipparini,Pelle/Tessuto,No,No,No,No,"Recliner (ZeroWall)",Sì,No,Sì,Legno,Metallo (Nascosti),"Moduli libreria: legno impiallacciato Rovere Affumicato (ST32), Rovere Cenere (ST23), Noce (ST39).",Non Specificato,Sì,"Uniti alla struttura","Uniti alla struttura","Altamente modulare (piedini gomma). Moduli libreria integrabili (codice LIB): V.820 (a giorno), V.821 (con cassetto), V.823 (Home Theatre). Meccanismo ZeroWall. Pulsantiera esterna (3 pulsanti: poggiatesta, cuscino lombare, poggiapiedi). Disponibile vers. 830 Battery Bank. Laterale divano componibile in pelle.",2018,No,No,No,No,Sì,No,Pelle,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi già montati, nascosti, antiscivolo/antigraffio."
3090,Cape,Non Specificato,Pelle,Sì,No,No,No,No,No,No,No,Legno,Metallo (Nascosti),"Non Specificato",Non Specificato,Sì,Fisso,Volante,"Cuscini spalliera volanti codificati separatamente.",Non Specificato,No,Sì,No,No,No,No,Non Applicabile,"Taglio a vivo",No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Mix imbottiture poliuretano/Climalight. Cucitura taglio a vivo. Piedi già montati, nascosti, antiscivolo/antigraffio."
3097,Margaret,Mauro Lipparini,Pelle/Tessuto,No,No,No,No,Dondolo (opz.),No,No,No,Legno,Legno,"32 (Rovere Affumicato), 39 (European Walnut)",Non Specificato,Sì,"Non uniti alla struttura","Non uniti alla struttura","Disponibile versione a dondolo (V.196).",2018,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.15 (Le Mans).","Guscio in cuoio color testa di moro. Combinazione cuoio/legno massello. Piedi già montati."
3098,Lave,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Metallo,Metallo,"77 (Cromo Lucido)",27.0,Sì,Volante,Volante,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi già montati."
3099,Cassia,Non Specificato,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Metallo,Legno,"32 (Rovere Affumicato), 39 (European Walnut)",Non Specificato,Sì,Fisso,Fisso,"MIX PELLE-TESSUTO: 1°Pelle=Scocca, 2°Tessuto=Cuscini seduta.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Categorie Mix Pelle/Tessuto definite. Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi già montati."
3100,Penelope,Non Specificato,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Metallo,Legno/Metallo,"Basamento/piedini anteriori: metallo cromo nero. Piedini posteriori legno: 32 (Rovere Affumicato), 39 (European Walnut).",Non Specificato,Sì,Fisso,Fisso,"MIX PELLE-TESSUTO: 1°Pelle=Scocca, cuscino seduta, bordino, 2°Tessuto=Cuscino spalliera.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Categorie Mix Pelle/Tessuto definite. Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi già montati."
3102,Couture,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Legno,Metallo,"78 (Cromo Nero)",Non Specificato,Sì,Fisso,Fisso,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi già montati."
3125,Clemmie,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Legno,Metallo,"75 (Nichel Satinato), 78 (Cromo Nero)",23.0/15.0,No,Fisso,Fisso,Non Specificato,Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Piedi anteriori più alti dei posteriori. Piedi in busta."
3146,Positano,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno,Legno/Metallo,"Base: legno massello rovere affumicato 32 con dettagli metallo ottone spazzolato",Non Specificato,No,Fisso,Fisso,"Cuscini volanti opzionali (V.109, V.152). Laterale in pelle (pezzi componibili).",Non Specificato,No,Sì,No,No,No,No,Pelle,"Cuciture sulla spalliera",No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Linee essenziali. Mix imbottiture poliuretano/Climalight. Piedi in busta."
3147,Campus,Mauro Lipparini,Pelle/Tessuto,No,No,Sì,No,No,No,No,Sì,Legno,Metallo,"46 (champagne lucido), 79 (nero opaco)",Non Specificato,No,"Non uniti alla struttura","Non uniti alla struttura","Ordinabile tessuto sfoderabile (R147). 3147: Scocche braccioli/spalliera in pelle scamosciata Gargano intrecciata (2° riv), cuscini in pelle/tessuto (1° riv). V.589 con piano appoggio legno olmo tabacco (angolo o terminale). Laterali pelle rivestiti.",2019,Sì,Sì,No,No,No,No,Pelle,Intreccio (Gargano),Sì,"Pelle: da cat.15. Non disponibile in pelle Misterbianco (cat.30).","Design intricato, misurato, sofisticato. Mix imbottiture Poliuretano/Memory/Climalight. Fodera antiscivolo sotto seduta. Piedi associati a colore zip (Champagne/Oro, Nero/Argento). Piedi in busta."
3148,Cava,Mauro Lipparini,Pelle/Tessuto,No,No,No,No,"Meccanismo Flip (manuale), Meccanismo Sliding (elettrico)",No,No,Sì,Non Specificato,Metallo/Legno,"Piani appoggio: metallo/olmo tabacco. Sedute: tubolari legno massello frassino tabacco (44) / basamento metallo caffè (85).",Non Specificato,No,"Uniti alla struttura","Uniti alla struttura","Moduli (eccetto angolo/chaise) con meccanismo opzionale: Flip (manuale, cambia posizione spalliera, include cuscino volante) o Sliding (elettrico, spalliera avanti/indietro, pulsanti sfioramento seduta). Piani d'appoggio integrabili (V.820, 824, 825, 826). Disponibile vers. 830 Battery Bank. Laterale in pelle (pezzi componibili).",2019,Sì,No,No,No,Sì,No,Pelle,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Sistema con piani d'appoggio. Cuscino seduta con memory foam. Piedi in busta. Gommini antiscivolo."
3150,Skyline,Marcel Wanders Studio,Pelle/Tessuto,No,No,No,No,"Recliner (ZeroWall)",No,No,Sì,Metallo,Metallo,"Moduli base chiusi: piedini antigraffio e antiscivolo nascosti (4.0cm). Moduli open base: profili/piedini metallo pressofuso arco (74 grigio grafite ruvido, 77 cromo lucido, 45 nero lucido).",4.0 (base)/20.0 (open base),No,"Uniti alla struttura","Uniti alla struttura","Altamente modulare (piedini gomma). Meccanismo ZeroWall. Disponibile vers. 830 Battery Bank. Laterale in pelle (pezzi componibili).",2019,No,No,No,No,Sì,No,Pelle,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi in busta. Gommini antigraffio."
3151,Dove,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Metallo,"Base: Metallo",Base: metallo cromo nero (45),32.0,No,Fisso,Fisso,"V.066 disponibile con vassoio frassino nero.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Tessuti specifici abilitati (Lamezia, Rizzoli, etc.). Pelle: Non disponibile in pelle Misterbianco (cat.30).","Struttura in poliuretano strutturale. Piedi in busta."
3153,Amalia,"Bernhardt & Vella",Pelle/Tessuto,No,No,No,No,No,No,No,No,Legno/Metallo,Legno,"32 (Rovere Affumicato), 39 (European Walnut)",11.0/26.0,No,Fisso,Fisso,"Disponibile come poltroncina senza braccioli.",Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Oasi relax comoda, avvolgente. Stile classico/contemporaneo. Divano/Dormeuse. Spalliera circolare, 2 grandi cuscini (materiali alta qualità). Piedi anteriori più alti dei posteriori. Piedi in busta."
3154,Conca,Mauro Lipparini,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Metallo,"Base: Metallo/Legno","Base: metallo caffè (85) con fianchi legno frassino tabacco (44).",35.0,Sì,Fisso,Fisso,"MIX PELLE-TESSUTO: 1°Pelle=Base, 2°Tessuto=Cuscini seduta/spalliera/bordino.",2019,No,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Guscio poliuretano strutturale rivestito pelle. Struttura interna schiumato. Piedi già montati."
3158,Kult,Maurizio Manzoni,Pelle/Tessuto,No,No,No,No,"Recliner",No,No,Sì,Legno,Legno,"09 (Noce), 18 (Wengè)",4.5,No,"Uniti alla struttura","Uniti alla struttura","Disponibile vers. 830 Battery Bank. Laterale divano componibile non in pelle.",2019,No,No,No,No,Sì,No,Tessuto,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi in busta."
3184,Blossom,Claudio Bellini,Pelle/Tessuto,No,No,No,No,No,No,No,No,Non Specificato,Legno,"09 (Noce), 18 (Wengè)",20.0/15.0,No,"Uniti alla struttura","Uniti alla struttura",Non Specificato,2019,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,"Non disponibile tessuto Laguna.","Anni '50. Design avvolgente, richiama bocciolo. Piedi anteriori più alti dei posteriori. Piedi in busta."
3185,Botanic,Claudio Bellini,Pelle/Tessuto,No,No,No,No,No,No,No,No,Legno,Metallo,"79 (Nero Opaco)",22.0/20.0,Non Specificato,Fisso,Fisso,Non Specificato,Non Specificato,No,No,No,Sì,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Reinterpreta stile anni '50. Compatto, open base. Forme organiche, morbide, avvolgenti. Piedi anteriori più alti dei posteriori."
3187,Levante,Mauro Lipparini,Pelle/Tessuto,No,No,No,No,No,No,No,No,Legno,Metallo,"nero lucido (FT 71)",Non Specificato,No,Fisso,Fisso,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,"Cuciture verticali",No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Compatto, base aperta. Forte personalità. Pratico, design. Ideale ambienti urban. Sponda interrotta sotto braccioli. Piedini esili. Cuciture verticali spalliera/seduta. Piedi in busta."
3188,Leaf,Maurizio Manzoni,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Legno,Legno/Metallo,"Base: legno massello nero frassino (FT51). Piedini: metallo nero lucido (FT71).",10.5,No,Fisso,Volante,"Altamente modulare (piedini gomma).",Non Specificato,No,Sì,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Estrema versatilità. Cuscini spalliera volanti. Linee pulite, proporzioni generose. Mix imbottiture poliuretano/Climalight. Base legno massello/piedini metallo. Piedi in busta."
3190,Seagull,Claudio Bellini,Pelle/Tessuto,No,No,No,No,"Recliner (Soft Touch, ZeroWall)",Sì,No,Sì,Legno,Metallo,"78 (Cromo Nero)",13.0,No,"Uniti alla struttura","Uniti alla struttura","Sistema Soft Touch (bottoni lato esterno bracciolo). Meccanismo ZeroWall. Pulsante unico (poggiatesta > poggiapiedi > posizione TV). Disponibile vers. 830 Battery Bank. Laterale divano componibile non in pelle.",2019,No,No,No,No,Sì,No,Tessuto,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Tributo 'comfort visivo' anni '80/'90. Piedi in busta."
3201,Wave,Nika Zupanc,Pelle/Tessuto,No,No,No,No,No,No,No,No,Legno,Metallo,"88 (oro pallido)",11.0,No,Fisso,Fisso,"Magazine Rack Voyage (T845) integrabile in Pouf/Ottoman.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Piedi in busta."
3202,Pablo,Claudio Bellini,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,Sì,Non Specificato,Metallo,"80 (peltro)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Moduli mix spalliera alta/bassa. V.576-578 con pianetto legno laccato grigio opaco integrato. V.744-745 con pianetto + tavolino top vetro temperato extra white (stelo metallo peltro).",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Icona arredamento contemporaneo. Altezze e volumi differenti. Altamente modulare (piedini gomma)."
3203,Dominio,Maurizio Manzoni,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,Sì,Non Specificato,Metallo,"79 (nero opaco), 89 (silver lucido)",Non Specificato,Sì,Modulare,Modulare,"Sedute modulari con agganci a scomparsa, laterali rivestiti. Braccioli separati (2 larghezze/altezze). Piede tubolare acciaio sezione esagonale su ogni seduta (fronte/retro), già montato. Piede bracciolo si innesta.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Ispirato Castel Del Monte. Imponente. Forma ottagonale basamento/retro cuscini spalliera. Altamente modulare (piedini gomma)."
3204,Oblò,Maurizio Manzoni,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Non Specificato,Metallo,"87 (metallo nero brunito con puntale in ottone spazzolato)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"V.200/201 laterale non rivestito.",2020,No,Sì,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Finestra sicura. Forme arrotondate, fluide. Bracciolo-schienale con tubolare metallo (cintura/piede). Altamente modulare (piedini gomma). Mix imbottiture poliuretano/Climalight."
3205,New Classic,Fabio Novembre,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,Sì,Non Specificato,Metallo,"79 (nero opaco), 89 (silver lucido)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,Non Specificato,"Equilibrio classico/contemporaneo. Rullo su retro scocca che si innesta ai braccioli. Gioco forme tondeggianti/squadrate. Altamente modulare (piedini gomma)."
3206,Deep,Nika Zupanc,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Non Specificato,Metallo (Nascosti),"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Laterali divano rivestiti con agganci nascosti e amovibili.",2020,Sì,No,No,No,No,No,Non Specificato,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Cuscino seduta con memory foam. Piedini nascosti antigraffio/antiscivolo."
3207,Argo,Paola Navone,Pelle/Tessuto,No,No,No,No,No,No,No,No,Non Specificato,Metallo,"79 (Nero Opaco)",5.0,No,Fisso,Fisso,Non Specificato,Non Specificato,No,Sì,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Forme generose, ampie. Simbolo nuovo modo vivere. Look morbido, imbottitura 3D, 2 graffe giganti nello schienale. Mix imbottiture poliuretano/Climalight. Piedi in busta."
3208,Sleeping Argo,Paola Navone,Pelle/Tessuto,No,No,No,No,"Recliner (Meccanizzato)",No,No,No,Legno,Metallo (Nascosti),"Non Specificato",5.0,No,"Uniti alla struttura","Uniti alla struttura","Disponibile vers. 830 Battery Bank.",Non Specificato,No,Sì,No,No,Sì,No,Non Applicabile,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Forme generose, ampie. Simbolo nuovo modo vivere. Look morbido, imbottitura 3D, 2 graffe giganti nello schienale. Mix imbottiture poliuretano/Climalight. Piedi in busta. Piedini nascosti antiscivolo/antigraffio."
3209,Buddie,Mauro Lipparini,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Non Specificato,Metallo (Nascosti),"Non Specificato",4.0,No,"Uniti alla struttura","Uniti alla struttura","7 moduli diversi abbinabili (lineari, angolari, isole, simmetriche, asimmetriche). Laterale in pelle (pezzi componibili).",Non Specificato,No,No,No,No,No,No,Pelle,"Cuciture irregolari",No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Spalliere/sedute/schienali si incastrano. Sovrapposizione volumi. Forme geometriche smussate. Piedini antiscivolo invisibili. Piedi in busta."
3210,Infinito,Marcantonio Raimondi Malerba,Tessuto,No,Sì,No,No,No,No,No,No,Metallo,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,2020,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Solo tessuto: Trastevere (cat.88), Portavenezia (cat.9C).","Estetica contaminazione. Simbolo infinito. Struttura tubolare metallico. Imbottitura poliuretano elastico diverse densità. Scultura sinuosa, divano, seduta, chaise longue centrale."
3222,Valzer,Non Specificato,Pelle/Tessuto,No,No,No,No,No,Sì,No,Sì,Legno,Metallo,"75 (Nichel Satinato), 77 (Cromo Lucido)",15.0,No,Fisso,Fisso,"Poggiatesta regolabile (tranne angolo tondo V.029). Braccioli regolabili manualmente. Laterale divano componibile non in pelle.",Non Specificato,No,No,No,No,No,No,Tessuto,Nessuna,No,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Cuscini seduta/schienale poliuretano alta densità (35). Piedi in busta."
3224,Calilla,Elena Salmistraro,Pelle/Tessuto,No,No,Sì,No,"Recliner (Meccanizzato)",Sì,No,No,Non Specificato,Metallo (Nascosti),"Non Specificato",4.0,Non Specificato,Non Specificato,Non Specificato,"Mix Pelle+Tessuto standard: 1B(LeMans+Tessuto), 2B(Status+Tessuto), 3A(Stromboli+Tessuto), 4A(Siena+Tessuto). MIX: 1°Tessuto=seduta/spalliera/poggiatesta/base, 2°Pelle=scocca esterna, 3°Pelle=interno bracciolo. Poggiatesta manuale (sollevabile + ruotabile). Meccanismo attivato da bottoni interni a vista. Disponibile vers. 830 Battery Bank.",2021,No,No,No,No,Sì,No,Non Applicabile,Nessuna,Sì,"Categorie Mix definite.","Piedini nascosti antiscivolo/antigraffio."
3226,Eufolia,Marcel Wanders Studio,Pelle/Tessuto,No,No,No,No,No,No,No,No,Legno,Metallo,"Base: nero lucido (FT71), cromo lucido (FT77). Piano tavolo V.827: frassino nero (51) o miele (55) abbinato a base.",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"V.827: Piano tavolo integrato.",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.25 (Status). Non disponibile in pelle Misterbianco (cat.30).","Sedute ampie, bracciolo sottile. Cuscini seduta poliuretano alta densità (50). Base metallo conferisce leggerezza."
3227,Sohay,Mauro Lipparini,Pelle/Tessuto,No,No,Sì,No,Letto,No,Sì,No,Non Specificato,Legno,"frassino naturale (54), frassino nero (51)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Maniglia tra sedute per scorrimento (meccanismo nascosto). Pelle: maniglia stesso rivestimento. Tessuto: maniglia tessuto o pelle (Le Mans/Status). Schienale ribaltabile manualmente (pistone a gas) per trasformazione letto. V.008 con bracciolo integrato (rimovibile, funge da cuscino letto). V.108 bracciolo aggiuntivo ordinabile.",2021,Sì,No,No,No,No,No,Non Applicabile,Nessuna,Sì,"Pelle: Non disponibile in pelle Misterbianco (cat.30).","Cuscino seduta con memory foam. Base in legno."
3228,Ensis,Non Specificato,Pelle/Tessuto,No,No,No,No,"Rocker, Swivel",No,No,No,Metallo,Metallo,"GOLD",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Funzione rocker e swivel (base poltrona/poggiapiedi swivel; rocker attivato da levetta sotto seduta con meccanismo tilt).",Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).","Armatura tubolare metallo interna affogata in poliuretano schiumato. Parte sotto seduta poliuretano strutturale rigido. Componenti interconnessi da tubolari metallici a vista (satinato oro). Verniciatura protettiva."
3229,Timeless,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,Sì,Poliuretano,Metallo (Nascosti),"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Laterale del divano rivestito.",Non Specificato,No,No,No,No,No,No,Non Specificato,Nessuna,No,"Pelle: da cat.25 (Status). Non disponibile in pelle Misterbianco (cat.30).","Struttura interna poliuretano da stampo con ossatura metallica. Poliuretano alta densità (50) + strato densità inferiore per morbidezza. Rivestito dacron/pelle/tessuto. Design, comfort, sostegno invariati nel tempo. Piedini nascosti antiscivolo/antigraffio."
3230,Juno,Non Specificato,Pelle/Tessuto,No,No,No,No,No,No,No,No,Poliuretano,Metallo (Nascosti),"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,Non Specificato,No,No,No,No,No,No,Non Applicabile,Nessuna,No,"Pelle: da cat.25 (Status). Non disponibile in pelle Misterbianco (cat.30).","Struttura interna poliuretano da stampo con ossatura metallica. Poliuretano alta densità (50) + strato densità inferiore per morbidezza. Rivestito dacron/pelle/tessuto. Design, comfort, sostegno invariati nel tempo. Piedini nascosti antiscivolo/antigraffio."
3233,Sophy,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,"Recliner (ZeroWall)",Sì,No,Sì,Legno,Metallo,"77 (Cromo Lucido), 78 (Cromo Nero)",13.0,No,"Uniti alla struttura","Uniti alla struttura","Poggiatesta regolabile tutte versioni. Bottoni interni a vista per meccanismo. Pulsante unico (poggiatesta > poggiapiedi > posizione TV). Meccanismo ZeroWall. V.560 ha 3 sedute con meccanismo elettrico. Disponibile vers. 830 Battery Bank. Laterale divano componibile non in pelle.",2021,No,No,No,No,Sì,No,Tessuto,Nessuna,No,"Pelle: da cat.10.","Cuscini seduta/schienale poliuretano alta densità (35). Piedi in busta."
3237,Fiorita,Natuzzi Design Center,Pelle/Tessuto,No,No,No,No,"Recliner (Dual Power Motion), Swivel",No,No,No,Non Specificato,Metallo,"Base swivel: 79 (nero opaco)",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Base swivel rotazione 270°. Dual power motion recliner (pulsanti soft touch tra seduta/bracciolo: 2sx pediera, 2dx spalliera; tasto chiusura con funzione HOME). Spinotto retro scocca per cavi. Opzione V.830 kit batteria (alloggiato sotto seduta).",2021,No,No,No,No,Sì,No,Non Applicabile,Nessuna,No,"Pelle: da cat.15 (Le Mans). Non disponibile in pelle Misterbianco (cat.30).",
3242,Adam,Marcel Wanders Studio,Pelle/Tessuto,No,No,No,No,No,Sì,No,Sì,Non Specificato,Legno,"Modello disponibile con base metallo (V242).",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Bracciolo regolabile (meccanismo scatti apertura / frizionato chiusura). Laterali divano rivestiti con agganci nascosti e amovibili.",2022,Sì,No,No,No,No,No,Non Specificato,Nessuna,No,"Non disponibile pelle Misterbianco (cat.30), Cassidy (cat.60).","Cuscino seduta con memory foam. Imbottiture poliuretano espanso microcellulare origine vegetale (densità 50 + memory 2cm)."
3253,Terra,Marcantonio Raimondi Malerba,Pelle/Tessuto,No,No,Sì,No,No,No,No,No,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile con rivestimenti ecosostenibili (Byborre, Gaia) e collezione NI.",Non Specificato,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,Sì,Non Specificato,"Prodotto stabilimenti Natuzzi con pannelli fotovoltaici. Componenti riciclabili. Imbottiture polistirolo riciclato (leggero, adattabile). Progetto iconico."
3256,Seashell,Natuzzi Design Center,Tessuto,No,Sì,No,No,Girevole,No,No,No,Non Specificato,Non Specificato,"Non Specificato",Non Specificato,Non Specificato,Non Specificato,Non Specificato,"Disponibile con meccanismo girevole 360°.",2023,No,No,No,Non Specificato,No,No,Non Applicabile,Nessuna,No,"Non disponibile in pelle. Tessuti specifici esclusi (Sparano, Portocervo, etc.).","Eleganza, comfort. Ispirata curve conchiglia. Silhouette elegante, organica. Seduta ergonomica."
